date,time,entidad,compra,venta
2026-08-24,2026-08-24T12:27:42Z,Asociación Romana,57.8,
2026-08-24,2026-08-24T12:27:42Z,Cambio Extranjero,58,
2026-08-24,2026-08-24T12:27:42Z,Panora Exchange,57.849999999999994,58.55
2026-08-24,2026-08-24T12:27:42Z,RM,58.2,58.6
2026-08-24,2026-08-24T12:27:42Z,Moneycorps,57.849999999999994,58.8
2026-08-24,2026-08-24T12:27:42Z,SCT,58,58.8
2026-08-24,2026-08-24T12:27:42Z,Taveras,58.5,59.15
2026-08-24,2026-08-24T12:27:42Z,Gamelin,58,59.15
2026-08-24,2026-08-24T12:27:42Z,Banco Unión,57.5,59.5
2026-08-24,2026-08-24T12:27:42Z,Asociación La Nacional de Ahorros y Préstamos,56.7,59.7
2026-08-24,2026-08-24T12:27:42Z,Motor Crédito,57.9,59.8
2026-08-24,2026-08-24T12:27:42Z,Bonanza Banco,57.8,59.8
2026-08-24,2026-08-24T12:27:42Z,Banco BHD,56,59.8
2026-08-24,2026-08-24T12:27:42Z,Asociación Cibao de Ahorros y Préstamos,56.5,59.8
2026-08-24,2026-08-24T12:27:42Z,Banreservas,56.4,59.9
2026-08-24,2026-08-24T12:27:42Z,Banesco,56.5,59.9
2026-08-24,2026-08-24T12:27:42Z,Banco Lafise,56.6,60
2026-08-24,2026-08-24T12:27:42Z,Asociación Peravia de Ahorros y Préstamos,56.120000000000005,60.25
